route_id,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_headsign_short
815,65078-1111100-0,12196234,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196235,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196236,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196237,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196238,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196239,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196240,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196241,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196242,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196243,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196244,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196245,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196246,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196247,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196248,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196249,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196250,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196251,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196252,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196253,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196254,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196199,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,65078-1111100-0,12196255,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196200,"El Cajon Transit Ctr",1,West,84802,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196201,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196202,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196203,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196204,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196205,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196206,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196207,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196208,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196209,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196210,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196211,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196212,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196213,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196214,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196215,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196216,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196217,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196218,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196219,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196220,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196221,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196222,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196223,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196224,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196225,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196226,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,65078-1111100-0,12196227,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
816,65078-1111100-0,12196643,"Cuyamaca College",0,East,81601,816_2_20,1,2,Cuy Clg
